key,companies,profit
98,Castle Rock Entertainment,0
98,Columbia Pictures,0
99,Columbia Pictures Corporation,-6439931
99,Gracie Films,-6439931
100,Touchstone Pictures,0
101,Spelling Films,-18000000
101,Dino De Laurentiis Company,-18000000
101,Mayer (MGM),-18000000
101,Goldwyn,-18000000
101,Metro,-18000000
102,Robert Simonds Productions,29205099
102,Grey Entertainment,29205099
102,Brillstein,29205099
102,Universal Pictures,29205099
103,Warner Bros.,158016617
103,Malpaso Productions,158016617
103,Amblin Entertainment,158016617
104,"",0
105,"Jim Henson Company, The",34327391
105,Jim Henson Productions,34327391
105,Walt Disney Pictures,34327391
106,"",0
107,"",0
108,B.H. Finance C.V.,138000000
108,The Ladd Company,138000000
108,Icon Entertainment International,138000000
109,Bill/Phillips,26962574
109,Italo/Judeo Productions,26962574
109,Columbia Pictures Corporation,26962574
110,Golden Harvest Company,24892047
110,New Line Cinema,24892047
111,Hollywood Pictures,-35000000
111,Caravan Pictures,-35000000
112,Ranfilm,0
112,Nova Scotia Film Development Corporation,0
112,Ciné Télé Action,0
112,Glace Bay Pictures,0
112,imX Communications,0
112,National Film Board of Canada (NFB),0
112,British Screen Productions,0
112,Société de Développement des Entreprises Culturelles (SODEC),0
112,Malofilm,0
112,Skyline Films,0
112,Téléfilm Canada,0
113,Téléma Productions,-13365000
113,Les Productions du Champ Poirier,-13365000
113,StudioCanal,-13365000
113,France 3 Cinéma,-13365000
113,France 2 Cinéma,-13365000
114,"",1
115,Bavaria Film and Television Fund,0
116,Motion Picture Corporation of America (MPCA),0
116,TriStar Pictures,0
117,Savoy Pictures,-18721861
118,TriStar Pictures,0
119,"",0
120,Paramount Pictures,30100000
121,The Criterion Collection,0
121,Jet Tone Production,0
122,Cecchi Gori Group Tiger Cinematografica,0
123,Miramax Films,7702438
124,Miramax,-17000000
124,Warner Bros.,-17000000
124,Cinevox Filmproduktion GmbH,-17000000
124,Dieter Geissler Filmproduktion,-17000000
124,Studio Babelsberg,-17000000
125,Cinétéléfilms,0
125,Mat Films,0
125,Canal Horizons,0
126,"",0
127,"",0
128,"",0
129,"",0
130,Canal+,0
130,Bórd Scannán na hÉireann,0
130,Channel Four Films,0
130,Fine Line Features,0
131,Paramount Pictures,-40148390
132,"",0
133,"",0
134,Twentieth Century Fox Film Corporation,0
135,Couch Potatoe Productions,0
136,"",0
137,Iberoamerica Films,0
137,Mayfair Films,0
137,Academy,0
137,Channel Four Films,0
138,"",0
139,Touchstone Pictures,-60000000
139,Cinergi Pictures Entertainment,-60000000
140,United Artists,154260553
141,"",0
142,Fox Searchlight Pictures,0
143,Don Simpson/Jerry Bruckheimer Films,122407024
143,Columbia Pictures,122407024
144,Warner Bros.,0
145,Island Pictures,0
145,New Line Cinema,0
146,Portman Productions,-3148455
146,British Screen Productions,-3148455
146,BBC,-3148455
146,Fine Line Features,-3148455
147,True Fiction Pictures,0
147,La Sept Cinéma,0
147,Union Générale Cinématographique (UGC),0
147,American Playhouse,0
147,Zenith Entertainment,0
147,Channel Four Films,0
148,Universal Pictures,303237933
148,Imagine Entertainment,303237933
149,Talisman Productions,3596911
149,United Artists,3596911
150,Fastnet Films,0
150,Guild,0
150,October Films,0
151,Polygram Filmed Entertainment,236529144
151,Warner Bros.,236529144
152,Robert et Raymond Hakim,0
152,Five Films,0
152,Paris Films Productions,0
153,Castle Rock Entertainment,0
153,Columbia Pictures,0
154,InterAL,-725000
154,Miramax Films,-725000
155,PolyGram Filmed Entertainment,-10821896
156,"",-50000000
157,40 Acres & A Mule Filmworks,-11928482
157,Universal Pictures,-11928482
158,"Kennedy/Marshall Company, The",102022101
158,Paramount Pictures,102022101
159,Don Simpson/Jerry Bruckheimer Films,104387195
159,Hollywood Pictures,104387195
160,Superior Pictures,3174695
161,Los Hooligans Productions,18405445
161,Columbia Pictures,18405445
162,Mundy Lane Entertainment,-10859178
162,TriStar Pictures,-10859178
163,Cinergi Pictures Entertainment,276101666
163,Twentieth Century Fox Film Corporation,276101666
164,The Teen Angst Movie Company,0
164,Blurco,0
164,Desperate Pictures,0
164,Why Not Productions,0
165,Merchant Ivory Productions,0
165,Touchstone Pictures,0
166,First Knight Productions,72600435
166,Columbia Pictures Corporation,72600435
167,Warner Bros.,0
167,Donner Productions,0
167,Donner/Shuler,0
167,Canal+,0
167,Alcor Films,0
167,Regency Enterprises,0
168,Suftley,-12436272
168,United Artists,-12436272
169,"",0
170,Alliance Communications Corporation,-5924280
170,TriStar Pictures,-5924280
171,Cinergi Pictures Entertainment,23493481
171,Hollywood Pictures,23493481
172,TriStar Pictures,17014653
173,"",-1500000
174,Lemon Sky Productions,648752
174,JDI productions,648752
175,Seraphim Films,0
175,United Artists,0
176,Société Générale des Industries Culturelles du Québec (SOGIC),0
176,Super Écran,0
176,Max Films Productions,0
176,Telefilm Canada,0
176,Atlantis Films,0
176,First Choice Films,0
176,The Ontario Film Development Corporation,0
177,"",0
178,View Askew Productions,-3877439
178,Alphaville Films,-3877439
178,Gramercy Pictures,-3877439
178,Universal Pictures,-3877439
179,Toei Company,51000000
179,Saban Entertainment,51000000
179,Twentieth Century Fox Film Corporation,51000000
180,Working Title Films,0
180,PolyGram Filmed Entertainment,0
181,Cobblestone Pictures,-1
181,Avrora Media,-1
181,Comet Film Produktion GmbH,-1
182,Kino Link Company,0
183,Columbia Pictures,88627965
184,1492 Pictures,69660733
184,Twentieth Century Fox Film Corporation,69660733
185,Party Productions,322370
186,Dimension Films,8
187,"Samuel Goldwyn Company, The",0
187,American Playhouse,0
187,Playhouse International Pictures,0
188,"",0
189,Cinergi Pictures Entertainment,-39617593
189,Hollywood Pictures,-39617593
190,"",0
191,Carolco Pictures,-24649246
191,Le Studio Canal+,-24649246
191,United Artists,-24649246
192,Miramax Films,1349430
193,"",0
194,Mayer (MGM),78374103
194,Goldwyn,78374103
194,Metro,78374103
195,"",0
196,Lightstorm Entertainment,-34040709
197,Parc Film,0
197,Madeleine Films,0
197,Beta Film,0
198,Interscope Communications,-8220000
198,PolyGram Filmed Entertainment,-8220000
198,Hollywood Pictures,-8220000
199,"",0
200,Portman Productions,339889
200,FIT Productions,339889
200,Société Française de Production (SFP),339889
201,Amblin Entertainment,47774193
201,Universal Pictures,47774193
202,Cutting Edge Films,44324083
202,Victor Company of Japan (JVC),44324083
202,Seagal/Nasso Productions,44324083
202,Warner Bros.,44324083
202,Regency Enterprises,44324083
203,Hollywood Pictures,0
204,"",0
205,Zucker Brothers Productions,30012507
205,Twentieth Century Fox Film Corporation,30012507
206,Licht/Mueller Film Corporation,89218220
206,Davis Entertainment,89218220
206,Gordon Company,89218220
206,Universal Pictures,89218220
207,Rysher Entertainment,-8000000
207,A BandApart,-8000000
207,HBO,-8000000
208,United Artists,-30000000
209,Paramount Pictures,0
210,Twentieth Century Fox Film Corporation,0
211,Caméra One,-183497
211,Studio Trite,-183497
211,Canal+,-183497
212,British Screen Productions,763847
212,PolyGram Audiovisuel,763847
213,Warner Bros.,3035405
213,Detour Film Production,3035405
214,Jack Giarraputo Productions,16488734
215,Spelling Films International,0
216,Hera Productions,2450000
216,New Regency Pictures,2450000
216,Canal+,2450000
216,Alcor Films,2450000
216,Regency Enterprises,2450000
217,Island World,0
217,Universal Pictures,0
218,Full Moon Entertainment,0
219,Price Entertainment,0
219,Lantana,0
219,Bórd Scannán na hÉireann,0
219,The Rank Organisation,0
220,View Askew Productions,3124130
220,Miramax Films,3124130
221,American Zoetrope,-2800000
221,New Line Cinema,-2800000
222,Baltimore Pictures,159015089
222,Warner Bros.,159015089
223,Dream Man Productions Inc,0
223,Keystone Pictures,0
224,Paramount Pictures,-45000000
225,Rysher Entertainment,0
225,Savoy Pictures,0
226,"",0
227,Columbia Pictures Corporation,0
227,Castle Rock Entertainment,0
228,"",-16000000
229,Central Motion Pictures,7294403
229,Good Machine,7294403
229,Ang Lee Productions,7294403
230,Ego Film Arts,0
230,Alliance Entertainment,0
230,Miramax Films,0
231,Savoy Pictures,6841570
232,"",-18000000
233,Prufrock Pictures,0
233,Working Title Films,0
233,PolyGram Filmed Entertainment,0
233,Twentieth Century Fox Film Corporation,0
234,Castle Rock Entertainment,0
234,Columbia Pictures,0
235,Twentieth Century Fox Film Corporation,0
236,Walt Disney Pictures,35348597
237,TriStar Pictures,-2798745
238,Mayer,0
238,Goldwyn,0
238,Metro,0
239,MG,0
239,Stéphan Films,0
239,Italian International Film,0
240,"",3992809
241,"",0
242,Miramax Films,0
243,Kartemquin Films,7130611
243,Fine Line Features,7130611
244,Fontana Productions,-1950865
244,New Zealand Film Commission,-1950865
244,Miramax Films,-1950865
244,WingNut Films,-1950865
245,Hollywood Pictures,15825256
245,Caravan Pictures,15825256
246,Icon Entertainment International,-120
246,Majestic Films International,-120
246,Columbia Pictures,-120
247,"",0
248,Bregman/Baer Productions,0
248,Universal Pictures,0
249,Paramount Pictures,-25000000
250,Geffen Pictures,163664608
251,Touchstone Pictures,-11526000
251,Merchant Ivory Productions,-11526000
252,"",0
253,Northern Lights Entertainment,-23000000
253,Universal Pictures,-23000000
254,Lee Rich Productions,0
254,Warner Bros.,0
254,Fountainbridge Films,0
255,Trimark Pictures,0
255,Walt Disney Pictures,0
256,Twentieth Century Fox Film Corporation,-40000000
257,Twentieth Century Fox Film Corporation,764398007
257,Lucasfilm,764398007
258,Columbia Pictures,-18000000
259,Warner Bros.,-17000000
260,"",0
261,MK2 Productions,-10000000
262,Cinevista,19665468
262,Aviacsa,19665468
263,Pangaea,130638883
263,TriStar Pictures,130638883
263,Bedford Falls Productions,130638883
264,Universal Pictures,0
265,Live Entertainment,0
265,New Line Cinema,0
265,Fine Line Features,0
266,Showcase Entertaiment Inc.,0
266,Home Box Office (HBO),0
266,Cineville,0
266,Channel Four Films,0
267,Warner Bros.,-60000000
268,Paramount Pictures,-9396234
269,Close Call Films,0
269,Samuel Goldwyn Company,0
269,Channel Four Films,0
270,"",-45000000
271,"",0
272,TriStar Pictures,-15000000
273,The Kennedy/Marshall Company,18137661
273,Paramount Pictures,18137661
274,Twentieth Century Fox Film Corporation,46264384
275,Hollywood Pictures,-1
276,Newcomb Productions,-5500000
276,Majestic Films International,-5500000
276,American Playhouse,-5500000
276,American Zoetrope,-5500000
277,Warner Bros.,17381942
277,Wolper Organization,17381942
278,Cinehaus,0
278,Capella International,0
278,Paramount Pictures,0
279,PolyGram Filmed Entertainment,75683817
279,Egg Pictures,75683817
279,Twentieth Century Fox Film Corporation,75683817
280,40 Acres & A Mule Filmworks,0
281,Distant Justice Joint Venture,0
281,TOEI,0
282,Metrodome Films,-4800000
283,Imperial Entertainment,0
283,Filmwerks,0
284,Triumph Films,0
285,J D Productions,16282766
285,New Regency Pictures,16282766
285,Warner Bros.,16282766
285,Ixtlan,16282766
285,Alcor Films,16282766
285,Regency Enterprises,16282766
286,"",0
287,New Zealand On Air,2201126
287,New Zealand Film Commission,2201126
287,Avalon Studios,2201126
288,MG Entertainment,0
288,CineTel Pictures,0
288,New Line Cinema,0
289,Arnold Kopelson Productions,139859560
289,Warner Bros.,139859560
289,Punch Productions,139859560
289,Kopelson Entertainment,139859560
290,"",-16000000
291,"Samuel Goldwyn Company, The",-8167174
292,Hollywood Pictures,0
293,Jersey Films,205928762
293,A Band Apart,205928762
293,Miramax Films,205928762
294,MVP Films,6834525
294,Gramercy Pictures (I),6834525
294,Polygram Filmed Entertainment,6834525
295,Ang Lee Productions,-247678
296,Miramax,4176932
296,PolyGram Filmed Entertainment,4176932
296,BBC Films,4176932
297,Baltimore Pictures,0
297,Hollywood Pictures,0
297,Wildwood Enterprises,0
298,Thousand Cranes Filmworks,0
298,Cecile Company,0
299,RCS Films & TV,0
299,Miramax,0
299,N.E.F. Filmproduktion und Vertriebs GmbH,0
299,Centre National de la Cinématographie (CNC),0
299,WMG Film,0
299,France2 Cinéma,0
299,D.A. Films,0
299,ARD/Degeto Film GmbH,0
299,Canal+,0
299,Eurimages,0
299,Renn Productions,0
300,TriStar Pictures,-13447540
301,Nomura Babcock & Brown,-9600000
301,Interscope Communications,-9600000
301,Hollywood Pictures,-9600000
302,Miramax Films,-3699347
303,Romande,0
303,Télévision Suisse,0
303,France 3 Cinéma,0
303,Le Studio Canal+,0
303,Zespół Filmowy TOR,0
304,CED Productions,0
304,France 3 Cinéma,0
305,Eurimages,0
305,France 3 Cinéma,0
305,Le Studio Canal+,0
306,"",0
307,"",0
308,west wind entertainment,0
308,Norstar Entertainment,0
308,Allegro Films,0
309,Paramount Pictures,0
310,Rich Animation Studios,-25228342
311,Skerry Productions,0
311,Jones Entertainment Group,0
312,Iguana Producciones,125362582
312,Warner Bros.,125362582
312,Jerry Weintraub Productions,125362582
313,Carolco Entertainment,141567262
313,StudioCanal,141567262
313,Centropolis Entertainment,141567262
314,Hollywood Pictures,167833357
314,Walt Disney Pictures,167833357
315,Warner Bros.,3341469
315,Castle Rock Entertainment,3341469
316,PolyGram Filmed Entertainment,0
316,The Glasgow Film Fund,0
316,Figment Films,0
316,Channel Four Films,0
317,Kino Korsakoff,102780
318,TeleMadrid,0
318,Instituto Mexicano de Cinematografía (IMCINE),0
318,Tabasco films,0
318,Miramax Films,0
319,Trimark Pictures,0
319,Cineville,0
320,"",-32
321,MHA,0
321,1992 Number Four Limited Partnership,0
321,New Line Cinema,0
322,Era International Ltd,0
322,Shanghai Film Studios,0
323,Trilogy Entertainment Group,-20935505
324,Tales From The Crypt Holdings,0
324,Universal Pictures,0
325,Paramount Pictures,82000000
326,Savoy Pictures,6000000
326,40 Acres & A Mule Filmworks,6000000
327,"",0
328,Universal Pictures,0
329,Paramount Pictures,32648673
330,"",0
331,Populist Pictures,-6500000
332,"Jackson/McHenry Company,The",0
332,Price Entertainment,0
332,Savoy Pictures,0
333,Paramount Pictures,-967235
334,Paramount Pictures,-5952000
335,Hollywood Pictures,165057016
335,Caravan Pictures,165057016
336,Universal Pictures,0
337,British Columbia Film Commission,759393
337,National Film Board of Canada (NFB),759393
337,First Generation Films,759393
337,Téléfilm Canada,759393
337,Fine Line Features,759393
338,House & Moorhouse Films,12119639
338,Film Victoria,12119639
